,X,Y,# of Radars,Solution,Longitude,Latitude
248,324,510,2,Vertex,108.5,39.0
249,324,544,2,Vertex,108.5,39.5
250,324,578,2,Vertex,108.5,40.0
251,324,612,2,Vertex,108.5,40.5
252,324,646,2,Vertex,108.5,41.0
253,351,34,2,Vertex,108.0,32.0
254,351,68,2,Vertex,108.0,32.5
255,351,102,2,Vertex,108.0,33.0
256,351,136,2,Vertex,108.0,33.5
257,351,170,2,Vertex,108.0,34.0
258,351,204,2,Vertex,108.0,34.5
259,351,238,2,Vertex,108.0,35.0
260,351,272,2,Vertex,108.0,35.5
261,351,306,2,Vertex,108.0,36.0
262,351,340,2,Vertex,108.0,36.5
263,351,374,2,Vertex,108.0,37.0
264,351,408,2,Vertex,108.0,37.5
265,351,442,2,Vertex,108.0,38.0
266,351,476,2,Vertex,108.0,38.5
267,351,510,2,Vertex,108.0,39.0
268,351,544,2,Radar,108.0,39.5
269,351,578,2,Vertex,108.0,40.0
270,351,612,2,Vertex,108.0,40.5
271,351,646,2,Vertex,108.0,41.0
272,378,34,2,Vertex,107.5,32.0
273,378,68,2,Vertex,107.5,32.5
274,378,102,2,Vertex,107.5,33.0
275,378,136,2,Vertex,107.5,33.5
276,378,170,2,Vertex,107.5,34.0
277,378,204,2,Vertex,107.5,34.5
278,378,238,2,Vertex,107.5,35.0
279,378,272,2,Vertex,107.5,35.5
280,378,306,2,Vertex,107.5,36.0
281,378,340,2,Vertex,107.5,36.5
282,378,374,2,Vertex,107.5,37.0
283,378,408,2,Vertex,107.5,37.5
284,378,442,2,Vertex,107.5,38.0
285,378,476,2,Vertex,107.5,38.5
286,378,510,2,Vertex,107.5,39.0
287,378,544,2,Vertex,107.5,39.5
288,378,578,2,Vertex,107.5,40.0
289,378,612,2,Vertex,107.5,40.5
290,378,646,2,Vertex,107.5,41.0
291,405,34,2,Vertex,107.0,32.0
292,405,68,2,Vertex,107.0,32.5
293,405,102,2,Vertex,107.0,33.0
294,405,136,2,Vertex,107.0,33.5
295,405,170,2,Vertex,107.0,34.0
296,405,204,2,Vertex,107.0,34.5
297,405,238,2,Vertex,107.0,35.0
298,405,272,2,Vertex,107.0,35.5
299,405,306,2,Vertex,107.0,36.0
300,405,340,2,Vertex,107.0,36.5
301,405,374,2,Vertex,107.0,37.0
302,405,408,2,Vertex,107.0,37.5
303,405,442,2,Vertex,107.0,38.0
304,405,476,2,Vertex,107.0,38.5
305,405,510,2,Vertex,107.0,39.0
306,405,544,2,Vertex,107.0,39.5
307,405,578,2,Vertex,107.0,40.0
308,405,612,2,Vertex,107.0,40.5
309,405,646,2,Vertex,107.0,41.0
310,432,34,2,Vertex,106.5,32.0
311,432,68,2,Vertex,106.5,32.5
312,432,102,2,Vertex,106.5,33.0
313,432,136,2,Vertex,106.5,33.5
314,432,170,2,Vertex,106.5,34.0
315,432,204,2,Vertex,106.5,34.5
316,432,238,2,Vertex,106.5,35.0
317,432,272,2,Vertex,106.5,35.5
318,432,306,2,Vertex,106.5,36.0
319,432,340,2,Vertex,106.5,36.5
320,432,374,2,Vertex,106.5,37.0
321,432,408,2,Vertex,106.5,37.5
322,432,442,2,Vertex,106.5,38.0
323,432,476,2,Vertex,106.5,38.5
324,432,510,2,Vertex,106.5,39.0
325,432,544,2,Vertex,106.5,39.5
326,432,578,2,Vertex,106.5,40.0
327,432,612,2,Vertex,106.5,40.5
328,432,646,2,Vertex,106.5,41.0
329,459,34,2,Vertex,106.0,32.0
330,459,68,2,Vertex,106.0,32.5
331,459,102,2,Vertex,106.0,33.0
332,459,136,2,Vertex,106.0,33.5
333,459,170,2,Vertex,106.0,34.0
334,459,204,2,Vertex,106.0,34.5
335,459,238,2,Vertex,106.0,35.0
336,459,272,2,Vertex,106.0,35.5
337,459,306,2,Vertex,106.0,36.0
338,459,340,2,Vertex,106.0,36.5
339,459,374,2,Vertex,106.0,37.0
340,459,408,2,Vertex,106.0,37.5
341,459,442,2,Vertex,106.0,38.0
342,459,476,2,Vertex,106.0,38.5
343,459,510,2,Vertex,106.0,39.0
344,459,544,2,Vertex,106.0,39.5
345,459,578,2,Vertex,106.0,40.0
346,459,612,2,Vertex,106.0,40.5
347,459,646,2,Vertex,106.0,41.0
348,486,34,2,Vertex,105.5,32.0
349,486,68,2,Vertex,105.5,32.5
350,486,102,2,Vertex,105.5,33.0
351,486,136,2,Vertex,105.5,33.5
352,486,170,2,Vertex,105.5,34.0
353,486,204,2,Vertex,105.5,34.5
354,486,238,2,Vertex,105.5,35.0
355,486,272,2,Vertex,105.5,35.5
356,486,306,2,Vertex,105.5,36.0
357,486,340,2,Vertex,105.5,36.5
