,X,Y,DC,# of Radars,Longitude,Latitude
280,216,204,284.0,4.0,110.5,34.5
281,486,204,284.0,4.0,105.5,34.5
282,486,442,284.0,4.0,105.5,38.0
283,135,476,283.0,4.0,112.0,38.5
284,621,272,283.0,4.0,103.0,35.5
285,486,442,283.0,4.0,105.5,38.0
286,243,170,283.0,4.0,110.0,34.0
287,135,476,282.0,4.0,112.0,38.5
288,621,272,282.0,4.0,103.0,35.5
289,486,442,282.0,4.0,105.5,38.0
290,243,170,282.0,4.0,110.0,34.0
291,135,476,281.0,4.0,112.0,38.5
292,621,272,281.0,4.0,103.0,35.5
293,486,442,281.0,4.0,105.5,38.0
294,243,170,281.0,4.0,110.0,34.0
295,135,476,280.0,4.0,112.0,38.5
296,621,272,280.0,4.0,103.0,35.5
297,486,442,280.0,4.0,105.5,38.0
298,243,170,280.0,4.0,110.0,34.0
299,135,476,279.0,4.0,112.0,38.5
300,621,272,279.0,4.0,103.0,35.5
301,486,442,279.0,4.0,105.5,38.0
302,243,170,279.0,4.0,110.0,34.0
303,135,476,278.0,4.0,112.0,38.5
304,405,204,278.0,4.0,107.0,34.5
305,216,136,278.0,4.0,110.5,33.5
306,486,476,278.0,4.0,105.5,38.5
307,405,170,277.0,4.0,107.0,34.0
308,216,136,277.0,4.0,110.5,33.5
309,162,476,277.0,4.0,111.5,38.5
310,513,442,277.0,4.0,105.0,38.0
311,405,170,276.0,4.0,107.0,34.0
312,216,136,276.0,4.0,110.5,33.5
313,162,476,276.0,4.0,111.5,38.5
314,513,442,276.0,4.0,105.0,38.0
315,405,170,275.0,4.0,107.0,34.0
316,216,136,275.0,4.0,110.5,33.5
317,162,476,275.0,4.0,111.5,38.5
318,513,442,275.0,4.0,105.0,38.0
319,486,476,274.0,4.0,105.5,38.5
320,162,476,274.0,4.0,111.5,38.5
321,189,204,274.0,4.0,111.0,34.5
322,459,238,274.0,4.0,106.0,35.0
323,405,136,273.0,4.0,107.0,33.5
324,513,476,273.0,4.0,105.0,38.5
325,243,578,273.0,4.0,110.0,40.0
326,135,238,273.0,4.0,112.0,35.0
327,135,272,272.0,4.0,112.0,35.5
328,405,136,272.0,4.0,107.0,33.5
329,513,476,272.0,4.0,105.0,38.5
330,243,578,272.0,4.0,110.0,40.0
331,135,272,271.0,4.0,112.0,35.5
332,135,476,271.0,4.0,112.0,38.5
333,405,136,271.0,4.0,107.0,33.5
334,486,476,271.0,4.0,105.5,38.5
335,135,272,270.0,4.0,112.0,35.5
336,135,476,270.0,4.0,112.0,38.5
337,405,136,270.0,4.0,107.0,33.5
338,486,476,270.0,4.0,105.5,38.5
339,135,476,269.0,4.0,112.0,38.5
340,405,136,269.0,4.0,107.0,33.5
341,216,170,269.0,4.0,110.5,34.0
342,486,476,269.0,4.0,105.5,38.5
343,135,476,268.0,4.0,112.0,38.5
344,405,136,268.0,4.0,107.0,33.5
345,216,170,268.0,4.0,110.5,34.0
346,486,476,268.0,4.0,105.5,38.5
347,135,476,267.0,4.0,112.0,38.5
348,405,136,267.0,4.0,107.0,33.5
349,216,170,267.0,4.0,110.5,34.0
350,486,476,267.0,4.0,105.5,38.5
351,135,476,266.0,4.0,112.0,38.5
352,405,136,266.0,4.0,107.0,33.5
353,216,170,266.0,4.0,110.5,34.0
354,486,476,266.0,4.0,105.5,38.5
355,135,476,265.0,4.0,112.0,38.5
356,405,136,265.0,4.0,107.0,33.5
357,216,170,265.0,4.0,110.5,34.0
358,486,476,265.0,4.0,105.5,38.5
359,135,476,264.0,4.0,112.0,38.5
360,405,136,264.0,4.0,107.0,33.5
361,216,170,264.0,4.0,110.5,34.0
362,486,476,264.0,4.0,105.5,38.5
363,405,136,263.0,4.0,107.0,33.5
364,162,510,263.0,4.0,111.5,39.0
365,189,204,263.0,4.0,111.0,34.5
366,513,476,263.0,4.0,105.0,38.5
367,405,136,262.0,4.0,107.0,33.5
368,162,510,262.0,4.0,111.5,39.0
369,189,204,262.0,4.0,111.0,34.5
370,513,476,262.0,4.0,105.0,38.5
371,405,136,261.0,4.0,107.0,33.5
372,486,476,261.0,4.0,105.5,38.5
373,108,476,261.0,4.0,112.5,38.5
374,189,204,261.0,4.0,111.0,34.5
375,405,170,260.0,4.0,107.0,34.0
376,162,204,260.0,4.0,111.5,34.5
377,486,476,260.0,4.0,105.5,38.5
378,108,476,260.0,4.0,112.5,38.5
379,405,170,259.0,4.0,107.0,34.0
380,162,204,259.0,4.0,111.5,34.5
381,486,476,259.0,4.0,105.5,38.5
382,108,476,259.0,4.0,112.5,38.5
383,405,170,258.0,4.0,107.0,34.0
384,162,204,258.0,4.0,111.5,34.5
385,486,476,258.0,4.0,105.5,38.5
386,108,476,258.0,4.0,112.5,38.5
387,405,170,257.0,4.0,107.0,34.0
388,162,204,257.0,4.0,111.5,34.5
389,486,476,257.0,4.0,105.5,38.5
390,108,476,257.0,4.0,112.5,38.5
391,405,170,256.0,4.0,107.0,34.0
392,162,204,256.0,4.0,111.5,34.5
393,486,476,256.0,4.0,105.5,38.5
394,108,476,256.0,4.0,112.5,38.5
395,405,136,255.0,4.0,107.0,33.5
396,540,476,255.0,4.0,104.5,38.5
397,216,544,255.0,4.0,110.5,39.5
398,108,238,255.0,4.0,112.5,35.0
