,Solution X,Solution Y,DC,Objective,Solution Longitude,Solution Latitude
188,162,476,640.0,300.0,111.5,38.5
189,162,476,641.0,300.0,111.5,38.5
190,162,476,642.0,300.0,111.5,38.5
191,189,510,643.0,293.0,111.0,39.0
192,189,510,644.0,293.0,111.0,39.0
193,189,510,645.0,293.0,111.0,39.0
194,189,510,646.0,293.0,111.0,39.0
195,189,510,647.0,293.0,111.0,39.0
196,351,612,648.0,285.0,108.0,40.5
197,351,612,649.0,285.0,108.0,40.5
198,324,612,650.0,282.0,108.5,40.5
199,324,612,651.0,282.0,108.5,40.5
200,405,578,652.0,280.0,107.0,40.0
201,405,578,653.0,280.0,107.0,40.0
202,405,578,654.0,280.0,107.0,40.0
203,405,578,655.0,280.0,107.0,40.0
204,108,442,656.0,275.0,112.5,38.0
205,81,408,657.0,266.0,113.0,37.5
206,81,408,658.0,266.0,113.0,37.5
